City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
296,Yerkoy,TR,39.6381,34.4672,66.29,43,73,1.92,broken clouds
297,Yar-Sale,RU,66.8333,70.8333,34.88,100,100,16.44,overcast clouds
298,Boyolangu,ID,-8.1181,111.8935,81.19,71,84,10.89,broken clouds
299,Walvis Bay,NA,-22.9575,14.5053,51.1,87,0,3.44,clear sky
300,Siilinjarvi,FI,63.0833,27.6667,39.22,93,90,4.61,overcast clouds
301,Charcas,MX,23.1333,-101.1167,65.61,60,78,10.36,broken clouds
302,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,78.6,52,89,10.27,overcast clouds
303,Zaysan,KZ,47.4667,84.8667,55.13,55,1,2.19,clear sky
304,Mayumba,GA,-3.432,10.6554,74.35,86,91,5.86,overcast clouds
305,Camargo,MX,27.6667,-105.1667,81.66,26,33,10.65,scattered clouds
306,Shaunavon,CA,49.6501,-108.4181,67.78,30,92,15.79,overcast clouds
307,San Felipe,VE,10.3399,-68.7425,72.34,98,54,1.19,broken clouds
308,Meulaboh,ID,4.1363,96.1285,74.75,93,100,5.03,overcast clouds
309,Svetlyy,RU,54.675,20.1347,48.25,68,37,13.15,scattered clouds
310,Port Hedland,AU,-20.3167,118.5667,89.65,9,2,9.22,clear sky
311,Kalemie,CD,-5.9475,29.1947,69.22,88,98,5.82,light rain
312,Belaya Glina,RU,46.07,40.86,61.57,71,100,7.56,overcast clouds
313,Haines Junction,CA,60.7522,-137.5108,48.15,76,100,1.14,overcast clouds
314,Samarai,PG,-10.6167,150.6667,78.51,87,100,20.0,overcast clouds
315,Boca Do Acre,BR,-8.7522,-67.3978,76.33,78,38,2.53,scattered clouds
316,Kudahuvadhoo,MV,2.6708,72.8944,82.54,74,99,6.15,overcast clouds
317,Alice Springs,AU,-23.7,133.8833,74.75,31,40,12.66,scattered clouds
318,Simpang,ID,-1.2667,104.0833,79.97,84,98,4.72,overcast clouds
319,Warrington,GB,53.3925,-2.5802,64.87,88,99,1.99,overcast clouds
320,Tuy Hoa,VN,13.0833,109.3,74.95,95,100,4.47,very heavy rain
321,Ushtobe,KZ,45.2514,77.9838,69.03,13,25,3.02,scattered clouds
322,Novyy Urengoy,RU,66.0833,76.6333,37.4,94,96,12.62,overcast clouds
323,Havre-Saint-Pierre,CA,50.2334,-63.5986,53.96,76,1,10.36,clear sky
324,Ishigaki,JP,24.3448,124.1572,86.13,79,40,6.91,scattered clouds
325,Villa Carlos Paz,AR,-31.4241,-64.4978,60.24,76,0,4.0,clear sky
326,Orsha,BY,54.5153,30.4053,42.91,94,100,19.39,light rain
327,Kalmunai,LK,7.4167,81.8167,80.98,81,100,6.49,overcast clouds
328,Linkou,CN,45.3,130.2833,64.49,63,97,2.77,overcast clouds
329,Urusha,RU,54.05,122.9,47.95,53,96,3.8,overcast clouds
330,Mount Isa,AU,-20.7333,139.5,87.57,23,0,12.66,clear sky
331,Dikson,RU,73.5069,80.5464,34.16,75,10,25.99,clear sky
332,Bandarbeyla,SO,9.4942,50.8122,78.98,78,100,22.26,overcast clouds
333,Manyana,BW,-23.4,21.7167,61.43,43,3,4.32,clear sky
334,Santa Catalina,PH,9.3337,122.8637,84.24,72,64,3.44,broken clouds
335,Semey,KZ,50.4111,80.2275,43.02,87,0,6.71,clear sky
336,Coahuayana,MX,18.7333,-103.6833,77.38,93,100,2.33,overcast clouds
337,Santa Cruz Cabralia,BR,-16.2781,-39.0247,73.63,78,20,4.61,few clouds
338,Ancud,CL,-41.8697,-73.8203,42.33,83,14,2.66,few clouds
339,Saint-Ambroise,CA,48.5501,-71.3324,52.57,80,100,2.95,overcast clouds
340,Gizo,SB,-8.103,156.8419,84.02,73,37,8.57,light rain
341,Rezina,MD,47.7492,28.9622,51.15,89,9,2.98,clear sky
342,Yining,CN,29.0361,114.5636,88.63,59,9,3.18,clear sky
343,Les Cayes,HT,18.2,-73.75,78.58,86,50,2.19,scattered clouds
